1,1,6
2,1,9
3,1,10
4,1,12
5,2,1
6,2,2
7,2,6
8,2,7
9,2,9
10,2,10
11,2,12
12,2,17
13,3,1
14,3,2
15,3,4
16,3,11
17,3,13
18,3,15
19,3,17
20,4,3
21,4,7
22,4,10
23,4,16
24,5,17
25,5,18
26,6,1
27,6,4
28,6,6
29,6,9
30,6,10
31,6,11
32,6,12
33,6,15
34,7,3
35,7,4
36,7,7
37,7,10
38,7,16
39,8,2
40,8,6
41,8,7
42,8,9
43,8,10
44,8,12
45,8,17
46,8,19
47,8,20
48,8,21
49,9,2
50,9,5
51,9,6
52,9,10
53,9,17
54,10,1
55,10,2
56,10,3
57,10,4
58,10,5
59,10,6
60,10,7
61,10,9
62,10,10
63,10,11
64,10,12
65,10,15
66,10,17
67,10,18
68,10,19
69,10,20
70,10,21
71,10,8
72,11,14
73,12,2
74,12,5
75,12,6
76,12,9
77,12,10
78,13,18
