1,Analytics
2,Data Munging
3,Flask
4,Graphing
5,Keras
6,Machine Learning
7,MySQL
8,Neo4j
9,Pandas and Numpy
10,Python
11,R
12,Scikit-Learn
13,Shiny
14,TensorFlow
15,Tidyverse
16,Web Design
17,Web Scraping
18,Java
